Day,Price,10MA,20MA,50MA,100MA,200MA
2202,94.0200,96.216,97.141,105.5808,110.27685,116.672625
2201,96.6000,96.956,97.2625,106.0554,110.48975,116.845625
2200,96.3500,96.926,97.4675,106.5094,110.66585,116.997175
2199,94.4800,96.97,97.7855,106.958,110.82805,117.153425
2198,96.4300,97.188,98.329,107.4142,110.98475,117.304775
2197,97.3400,97.258,98.7705,107.7594,111.14355,117.453475
2196,94.0900,97.476,99.2695,108.0961,111.26285,117.600675
2195,93.4200,97.806,100.002,108.4611,111.42565,117.761725
2194,99.9900,98.46,100.672,108.9071,111.61485,117.928875
2193,99.4400,98.314,101.074,109.2295,111.69215,118.064425
2192,101.4200,98.066,101.5325,109.5761,111.82535,118.200025
2191,96.3000,97.569,101.823,109.9591,111.94405,118.320925
2190,96.7900,98.009,102.3745,110.4543,112.11025,118.469475
2189,96.6600,98.601,102.8365,110.9369,112.23925,118.622275
2188,97.1300,99.47,103.4525,111.4437,112.31005,118.765575
2187,99.5200,100.283,104.163,111.9525,112.36995,118.901175
2186,97.3900,101.063,104.7115,112.3857,112.43235,119.025725
2185,99.9600,102.198,105.466,112.8279,112.58495,119.170625
2184,98.5300,102.884,106.127,113.2393,112.73545,119.287075
2183,96.9600,103.834,107.009,113.6541,112.91515,119.415625
2182,96.4500,104.999,107.942,114.0059,113.11715,119.547725
2181,100.7000,106.077,109.031,114.3825,113.31225,119.698925
2180,102.7100,106.74,109.91,114.7501,113.45675,119.831475
2179,105.3500,107.072,110.726,115.0059,113.58205,119.947425
2178,105.2600,107.435,111.2185,115.1741,113.66345,120.05815
2177,107.3200,108.043,111.7695,115.3443,113.80805,120.1742
2176,108.7400,108.36,112.2705,115.4325,113.89005,120.2728
2175,106.8200,108.734,112.7485,115.4785,113.95395,120.35385
2174,108.0300,109.37,113.298,115.5793,114.03975,120.4377
2173,108.6100,110.184,113.798,115.6229,114.10585,120.5198
2172,107.2300,110.885,114.3115,115.6865,114.20415,120.58795
2171,107.3300,111.985,114.8375,115.7739,114.34485,120.67435
2170,106.0300,113.08,115.436,115.8697,114.49525,120.7734
2169,108.9800,114.38,116.0735,115.9391,114.66485,120.87625
2168,111.3400,115.002,116.489,115.9751,114.80885,120.9634
